관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
제주특별자치도,제주특별자치도 제주시 동문로9길 3,제주특별자치도 제주시 건입동 1120,생활방범,1,,청은환타지아 북측 4가,30,,064-710-8855,33.5132891,126.5300275,2018-04-30
제주특별자치도,제주특별자치도 제주시 산지로 21-4,,생활방범,1,,건입동사무소 동측,30,,064-710-8855,33.5148025,126.5297727,2018-04-30
제주특별자치도,제주특별자치도 제주시 공덕길 12,,생활방범,1,,기상청 동측4가,30,,064-710-8855,33.5146815,126.5309716,2018-04-30
제주특별자치도,제주특별자치도 제주시 만덕로 3길 19,,생활방범,1,,우일빌라앞,30,,064-710-8855,33.5160093,126.5332395,2018-04-30
제주특별자치도,제주특별자치도 제주시 관덕로15길 31,,생활방범,1,,탑고향 흑돼지촌 앞,30,,064-710-8855,33.516059,126.5268679,2018-04-30
제주특별자치도,제주특별자치도 제주시 원노형3길 6 (노형동),제주특별자치도 제주시 노형동 915-6,생활방범,1,,조랑말과 흑돼지앞,30,,064-710-8855,33.4866853,126.485384,2018-04-30
제주특별자치도,제주특별자치도 제주시 수덕5길 44 (노형동. 이화1차아파트),제주특별자치도 제주시 노형동 2532-1,생활방범,1,,이화아파트입구 4가,30,,064-710-8855,33.4849608,126.4740081,2018-04-30
제주특별자치도,제주특별자치도 제주시 중앙로4길 4가,,생활방범,1,,서울호텔 뒤,30,,064-710-8855,33.5162139,126.5238341,2018-04-30
제주특별자치도,제주특별자치도 제주시 관덕로 7길 35,,생활방범,1,,탑동컴퓨터세탁소앞,30,,064-710-8855,33.5163035,126.5233281,2018-04-30
제주특별자치도,제주특별자치도 제주시 연동11길 12 (연동),제주특별자치도 제주시 연동 282-45,생활방범,1,,제원아파트서측 공원앞,30,,064-710-8855,33.4886232,126.4931866,2018-04-30
제주특별자치도,제주특별자치도 제주시 연동11길 12 (연동),제주특별자치도 제주시 연동 282-45,생활방범,1,,부산할매아구찜 앞4가,30,,064-710-8855,33.4886232,126.4931866,2018-04-30
제주특별자치도,제주특별자치도 제주시 연동7길,제주특별자치도 제주시 연동 272,생활방범,1,,바오젠거리,30,,064-710-8855,33.4887754,126.4910255,2018-04-30
제주특별자치도,제주특별자치도 제주시 연동10길 3 (연동),제주특별자치도 제주시 연동 284-2,생활방범,1,,투다리 연동점,30,,064-710-8855,33.485387,126.4921129,2018-04-30
제주특별자치도,제주특별자치도 제주시 은남길 20 (연동. 대한항공사택),제주특별자치도 제주시 연동 292-53,생활방범,1,,대한항공사원주택서측,30,,064-710-8855,33.4880041,126.4952147,2018-04-30
제주특별자치도,제주특별자치도 제주시 은남길 14 (연동),제주특별자치도 제주시 연동 292-64,생활방범,1,,해봉이네 동태탕,30,,064-710-8855,33.4885315,126.4957296,2018-04-30
제주특별자치도,제주특별자치도 제주시 제원2길 38 (연동),제주특별자치도 제주시 연동 251-82,생활방범,1,,한라수산앞,30,,064-710-8855,33.4886077,126.4854054,2018-04-30
제주특별자치도,제주특별자치도 제주시 용담2동 616,제주특별자치도 제주시 용담2동 616,생활방범,1,,용담이동 616,30,,064-710-8855,33.5107211,126.5091798,2018-04-30
